-34|Toy xuc kos es di plu tot treng|Toy xuc kos es di plu tot treng
-35|Kos ketoy es eng di pho seng nuoy|Kos ketoy es eng di pho seng nuoy
-36|Toy xeet gung kos khi gung canza ketay|Toy xeet gung kos khi gung canza ketay
-37|Di yan rey nag eng tonko ketoy es xeet chyon kos|Di yan rey nag eng tonko ketoy es xeet chyon kos
-38|Kos es tot y xeet|Kos es tot y xeet
-39|Toy mon kos pel kos es tot y xeet|Toy mon kos pel kos es tot y xeet
-40|Vi lag ang es tot y pret, pel di vi lag es ruoua pret xar khi xem|Vi lag ang es tot y pret, pel di vi lag es ruoua pret xar khi xem
-41|Vi lag ang es tot y pret|Vi lag ang es tot y pret
-42|Kos es tot pel to es di plu tot treng kun to es kyong un treng hung|Kos es tot pel to es di plu tot treng kun to es kyong un treng hung
-43|Vi lag qualle es un chong chingeng vi lag tor Mi Lan|Vi lag qualle es un chong chingeng vi lag tor Mi Lan
-44|Di vi lag ruoua yung thong eng di gai|Di vi lag ruoua yung thong eng di gai
-45|Tini vi lag qualle, hoy "Qualleish" (di vi lag ang nym ke-Vi lag qualle es Qualleish gu) ruo ruoua chingeng eng 2022|Tini vi lag qualle, hoy "Qualleish" (di vi lag ang nym ke-Vi lag qualle es Qualleish gu) ruo ruoua chingeng eng nuoy sia nuoy muoang nuoy
-46|Vi lag qualle qui gung geyang|Vi lag qualle qui gung geyang
-47|Tini vi lag qualle ruo ruoua chingeng eng 2022 y huoc 2022|Tini vi lag qualle ruo ruoua chingeng eng nuoy sia nuoy muoang nuoy y huoc nuoy sia nuoy muoang nuoy
-48|Neng gung corto eng tini vi lag qualle khi eng xama vi lag qualle, chegig "nym"|Neng gung corto eng tini vi lag qualle khi eng xama vi lag qualle, chegig "nym"
-49|Vi lag qualle ruo ruoua chingeng eng 2022|Vi lag qualle ruo ruoua chingeng eng nuoy sia nuoy muoang nuoy
-50|Vi lag lan es un vi lag ruoua pret eng lanta lan, vi lag lan es ze|Vi lag lan es un vi lag ruoua pret eng lanta lan, vi lag lan es ze
-51|Vi lag lan es pret eng lanta lan, lanta nuoy lan khi lanta nuoy nheng|Vi lag lan es pret eng lanta lan, lanta nuoy lan khi lanta nuoy nheng
-52|Lanta nuoy lan es un lanta xar hoy os lanta lan khi lanta hap|Lanta nuoy lan es un lanta xar hoy os lanta lan khi lanta hap
-53|Toy ruoua chingeng un vi lag, nen to es un chong chingeng vi lag|Toy ruoua chingeng un vi lag, nen to es un chong chingeng vi la
-54|Vi lag hobo es un vi lag ruoua pret eng lanta hobo khi choon gung lanta|Vi lag hobo es un vi lag ruoua pret eng lanta hobo khi choon gung lanta
-55|Chamt lahn ketoy es kyong cher, xixo goy ziup toy?|Chamt lahn ketoy es kyong cher, xixo goy ziup toy?
-56|Goy khong biet ketoy khi toy khong biet kegoy|Goy khong biet ketoy khi toy khong biet kegoy
-57|2024 es di xaung tay|Nuoy sia nuoy muoang geong es di xaung tay
-58|Xang, xuont!|Xang, xuont!
-59|Toy khong kyong 11|Toy khong kyong muoang rey
-60|Toy khong kyong 12|Toy khong kyong muoang nuoy
-61|Toy chig goy, ngoung goy chig toy?|Toy chig goy, ngoung goy chig toy?
-62|Di yan rey nag eng tonko kegoy es toy|Di yan rey nag eng tonko kegoy es toy
-63|Toy ong mon y va|Toy ong mon y va
-64|Gung zange khi choange|Gung zange khi choange
-65|Es di zange choange?|Es di zange choange?
-66|Khi goy ca tuang?|Khi goy ca tuang?
-67|Toy ong gon ly|Toy ong gon ly
-68|Chin che di xuont|Chin che di xuont
-69|Toy chin che xacho di xuont|Toy chin che xacho di xuont
-70|Di xuont es choange, kun toy khong tot|Di xuont es choange, kun toy khong tot
-71|Eng 2020, 1000 gung chengnin ruoua va eng lanta fluyen|Eng nuoy sia nuoy muoang, sia gung chengnin ruoua va eng lanta fluyen
-72|Khi goy choange?|Khi goy choange?
-73|Toy vi chamt lahn ketay, gong din soy songo di chamt lahn|Toy vi chamt lahn ketay, gong din soy songo di chamt lahn
-74|Vi lag fluyen es un vi lag ruoua pret eng lanta fluyen|Vi lag fluyen es un vi lag ruoua pret eng lanta fluyen
-75|Toy khong di plu tot chengnin eng di xuont|Toy khong di plu tot chengnin eng di xuont
-76|Mi Lan mon y hob vi chamt lahn|Mi Lan mon y hob vi chamt lahn
-77|1 2 3 din!|Rey nuoy hung din!
-78|Yeng tay ngong va, khi le zi goy ong mon y, brong|Yeng tay ngong va, khi le zi goy ong mon y, brong
-79|Di yan rey chengnin xo es tot es toy|Di yan rey chengnin xo es tot es toy
-80|Chyon es di 80 corto mang eng chyon esto|Chyon es di long muoang corto mang eng chyon esto
-81|Xang, toy khong un yia, toy chig gung yio|Xang, toy khong un yia, toy chig gung yio
-82|Di yan rey gesoy y chingeng un vi lag, es tor chingeng xama gung corto|Di yan rey gesoy y chingeng un vi lag, es tor chingeng xama gung corto
-83|Goy khong un du the mas, kyong un du the phu|Goy khong un du the mas, kyong un du the phu
-84|Gung zange, tini hoy xama, xixo va, mit gung chengnin, to es sang|Gung zange, tini hoy xama, xixo va, mit gung chengnin, to es sang
-85|Di plu brong nag es va, pel toy ong mon y va toy ngong chonoch eng lanta hap|Di plu brong nag es va, pel toy ong mon y va toy ngong chonoch eng lanta hap
